Id,Weekly_Sales
1_1_2012-11-02,30460.4500318829
1_1_2012-11-09,23160.9153198191
1_1_2012-11-16,21969.7539368486
1_1_2012-11-23,22164.2872416584
1_1_2012-11-30,25535.6586000328
1_1_2012-12-07,31187.0948619021
1_1_2012-12-14,40698.2059342119
1_1_2012-12-21,41606.1037563789
1_1_2012-12-28,23365.1012667753
1_1_2013-01-04,18653.053774319
1_1_2013-01-11,18291.827241158
1_1_2013-01-18,18881.9293409051
1_1_2013-01-25,18947.1604456289
1_1_2013-02-01,24111.0630341906
1_1_2013-02-08,36791.6792641618
1_1_2013-02-15,41653.2374333649
1_1_2013-02-22,26409.9814660988
1_1_2013-03-01,23845.415224633
1_1_2013-03-08,24080.9928397274
1_1_2013-03-15,23963.2815417212
1_1_2013-03-22,23722.422740723
1_1_2013-03-29,26881.6100356693
1_1_2013-04-05,37581.8837723029
1_1_2013-04-12,30584.6818861985
1_1_2013-04-19,22516.9819623068
1_1_2013-04-26,20733.9660251412
1_1_2013-05-03,18018.3478646701
1_1_2013-05-10,17976.2192373314
1_1_2013-05-17,18037.1353004473
1_1_2013-05-24,16793.6136234561
1_1_2013-05-31,16824.8011643589
1_1_2013-06-07,17312.1059552751
1_1_2013-06-14,17184.4342525547
1_1_2013-06-21,16718.8378830033
1_1_2013-06-28,16455.7296715883
1_1_2013-07-05,17144.2237840081
1_1_2013-07-12,16854.5810645603
1_1_2013-07-19,16611.7130159649
1_1_2013-07-26,16416.1201945886
1_2_2012-11-02,47054.3758236593
1_2_2012-11-09,45942.0254492228
1_2_2012-11-16,43305.37221665
1_2_2012-11-23,43755.9799190143
1_2_2012-11-30,44650.5052143135
1_2_2012-12-07,47626.5891860121
1_2_2012-12-14,49363.6836231386
1_2_2012-12-21,52548.7258699792
1_2_2012-12-28,43896.1653407719
1_2_2013-01-04,46495.4870601486
1_2_2013-01-11,45600.9018407159
1_2_2013-01-18,43329.4555807489
1_2_2013-01-25,42988.4110850732
1_2_2013-02-01,50888.0202471025
1_2_2013-02-08,50200.8447566157
1_2_2013-02-15,46274.3890675124
1_2_2013-02-22,46564.2459814836
1_2_2013-03-01,50735.8742637619
1_2_2013-03-08,49206.1120857072
1_2_2013-03-15,45965.3958597728
1_2_2013-03-22,45423.5926669582
1_2_2013-03-29,45900.6251209761
1_2_2013-04-05,49957.1380255105
1_2_2013-04-12,45099.6927206913
1_2_2013-04-19,45304.8408721651
1_2_2013-04-26,45440.059488213
1_2_2013-05-03,49518.9499928891
1_2_2013-05-10,47562.5028841667
1_2_2013-05-17,45295.8255206758
1_2_2013-05-24,45471.0711349153
1_2_2013-05-31,45679.6004740872
1_2_2013-06-07,48382.0306091456
1_2_2013-06-14,45291.9555324827
1_2_2013-06-21,45566.1800675503
1_2_2013-06-28,45799.6992916022
1_2_2013-07-05,48563.7799553216
1_2_2013-07-12,44974.6944345948
1_2_2013-07-19,45111.7601803692
1_2_2013-07-26,45189.2345023068
1_3_2012-11-02,10103.345576709
1_3_2012-11-09,10139.3614116152
1_3_2012-11-16,10015.6293710196
1_3_2012-11-23,9973.66424360871
1_3_2012-11-30,10469.3266104112
1_3_2012-12-07,11512.7087952125
1_3_2012-12-14,11763.9828626456
1_3_2012-12-21,11689.037788554
1_3_2012-12-28,9780.90447118643
1_3_2013-01-04,16186.9313516781
1_3_2013-01-11,15900.6066036184
1_3_2013-01-18,14651.125528782
1_3_2013-01-25,14284.5529521915
1_3_2013-02-01,14755.2555674023
1_3_2013-02-08,14972.6362757137
1_3_2013-02-15,13694.6699358369
1_3_2013-02-22,13634.3153388962
1_3_2013-03-01,14182.0826142922
1_3_2013-03-08,14370.0391167382
1_3_2013-03-15,12215.1345334809
1_3_2013-03-22,11823.5386416566
1_3_2013-03-29,12263.2689972274
1_3_2013-04-05,12875.6368123943
1_3_2013-04-12,12476.4558689869
1_3_2013-04-19,11927.0110737098
1_3_2013-04-26,12109.7205207473
1_3_2013-05-03,13211.1823266334
1_3_2013-05-10,13014.5982265291
1_3_2013-05-17,11692.3170194524
1_3_2013-05-24,11549.2531103883
1_3_2013-05-31,11877.7648453484
1_3_2013-06-07,11594.1472273226
1_3_2013-06-14,11318.138940108
1_3_2013-06-21,10923.2577477788
1_3_2013-06-28,10784.0587561184
1_3_2013-07-05,11650.8042875086
1_3_2013-07-12,14920.6066209209
1_3_2013-07-19,19572.4957004175
1_3_2013-07-26,22262.4258239144
1_4_2012-11-02,38769.4491799594
1_4_2012-11-09,38029.6309732494
1_4_2012-11-16,36477.2737701711
1_4_2012-11-23,46015.2524491552
1_4_2012-11-30,41413.0651648024
1_4_2012-12-07,39106.6547994432
1_4_2012-12-14,38853.5628030317
1_4_2012-12-21,44033.790121781
1_4_2012-12-28,38305.3956815277
1_4_2013-01-04,39900.282695309
1_4_2013-01-11,37014.4115146924
1_4_2013-01-18,35766.3517040117
1_4_2013-01-25,35694.9278856998
1_4_2013-02-01,39717.231778843
1_4_2013-02-08,39450.2424783843
1_4_2013-02-15,36429.951937508
1_4_2013-02-22,36118.0574846872
1_4_2013-03-01,39571.8821870605
1_4_2013-03-08,39477.936434285
1_4_2013-03-15,36792.3235637349
1_4_2013-03-22,36497.3388142127
1_4_2013-03-29,36835.1230502635
1_4_2013-04-05,40621.7523753633
1_4_2013-04-12,36692.9302104304
1_4_2013-04-19,36374.9584833507
1_4_2013-04-26,36441.6129792295
1_4_2013-05-03,40788.1458414263
1_4_2013-05-10,39410.7249375405
1_4_2013-05-17,36182.3783349772
1_4_2013-05-24,36747.8432779502
1_4_2013-05-31,37184.8282690419
1_4_2013-06-07,40729.0952350593
1_4_2013-06-14,37328.1704340138
1_4_2013-06-21,37103.4384229842
1_4_2013-06-28,37164.0425078318
1_4_2013-07-05,41401.3897693975
1_4_2013-07-12,37163.4759084114
1_4_2013-07-19,36914.1671718362
1_4_2013-07-26,36445.0861281908
1_5_2012-11-02,27577.4272650198
1_5_2012-11-09,27295.5857245467
1_5_2012-11-16,26865.8878452204
1_5_2012-11-23,72842.6957342027
1_5_2012-11-30,48407.1174943663
1_5_2012-12-07,42904.0468555344
1_5_2012-12-14,46376.973291682
1_5_2012-12-21,56462.7011301755
1_5_2012-12-28,38156.0943604431
1_5_2013-01-04,22760.5754686077
1_5_2013-01-11,21152.519644652
1_5_2013-01-18,20655.3520253262
1_5_2013-01-25,21738.5095588178
1_5_2013-02-01,30391.1719439815
1_5_2013-02-08,37871.4432191573
1_5_2013-02-15,36179.5611737707
1_5_2013-02-22,29172.0175976741
1_5_2013-03-01,28405.6428442317
1_5_2013-03-08,26296.9290321529
1_5_2013-03-15,26424.5733665299
1_5_2013-03-22,25122.1371666379
1_5_2013-03-29,25282.0143567687
1_5_2013-04-05,26135.2245593036
1_5_2013-04-12,20154.4037144938
1_5_2013-04-19,19244.539679748
1_5_2013-04-26,19583.6116320327
1_5_2013-05-03,19495.0473272962
1_5_2013-05-10,19305.0638913342
1_5_2013-05-17,19241.4730944298
1_5_2013-05-24,20083.4847661832
1_5_2013-05-31,19530.5543468137
1_5_2013-06-07,22073.8257398175
1_5_2013-06-14,21507.1270095932
1_5_2013-06-21,21708.3217906856
1_5_2013-06-28,20203.6213836994
1_5_2013-07-05,20180.7614924553
1_5_2013-07-12,19849.1244778537
1_5_2013-07-19,19478.0039952012
1_5_2013-07-26,18792.3609711853
1_6_2012-11-02,4015.11674172535
1_6_2012-11-09,3744.51057136171
1_6_2012-11-16,3831.96381563402
1_6_2012-11-23,17988.7720830853
1_6_2012-11-30,10535.0417674605
1_6_2012-12-07,7368.86880040665
1_6_2012-12-14,9896.11660409699
1_6_2012-12-21,15040.035345954
1_6_2012-12-28,8228.42609073583
1_6_2013-01-04,2731.1355140039
1_6_2013-01-11,2259.87521137967
1_6_2013-01-18,2345.3010704832
1_6_2013-01-25,2332.19902275555
1_6_2013-02-01,3522.51041853084
1_6_2013-02-08,4611.67468677921
1_6_2013-02-15,3488.8382953016
1_6_2013-02-22,3370.75692574131
1_6_2013-03-01,3568.00627800549
1_6_2013-03-08,3180.91156419959
1_6_2013-03-15,3213.12121765026
1_6_2013-03-22,3129.73884722551
