Id,Weekly_Sales
1_1_2012-11-02,Inf
1_1_2012-11-09,Inf
1_1_2012-11-16,Inf
1_1_2012-11-23,Inf
1_1_2012-11-30,Inf
1_1_2012-12-07,Inf
1_1_2012-12-14,Inf
1_1_2012-12-21,Inf
1_1_2012-12-28,Inf
1_1_2013-01-04,Inf
1_1_2013-01-11,Inf
1_1_2013-01-18,Inf
1_1_2013-01-25,Inf
1_1_2013-02-01,Inf
1_1_2013-02-08,Inf
1_1_2013-02-15,Inf
1_1_2013-02-22,Inf
1_1_2013-03-01,Inf
1_1_2013-03-08,Inf
1_1_2013-03-15,Inf
1_1_2013-03-22,Inf
1_1_2013-03-29,Inf
1_1_2013-04-05,Inf
1_1_2013-04-12,Inf
1_1_2013-04-19,Inf
1_1_2013-04-26,Inf
1_1_2013-05-03,Inf
1_1_2013-05-10,Inf
1_1_2013-05-17,Inf
1_1_2013-05-24,Inf
1_1_2013-05-31,Inf
1_1_2013-06-07,Inf
1_1_2013-06-14,Inf
1_1_2013-06-21,Inf
1_1_2013-06-28,Inf
1_1_2013-07-05,Inf
1_1_2013-07-12,Inf
1_1_2013-07-19,Inf
1_1_2013-07-26,Inf
1_2_2012-11-02,Inf
1_2_2012-11-09,Inf
1_2_2012-11-16,Inf
1_2_2012-11-23,Inf
1_2_2012-11-30,Inf
1_2_2012-12-07,Inf
1_2_2012-12-14,Inf
1_2_2012-12-21,Inf
1_2_2012-12-28,Inf
1_2_2013-01-04,Inf
1_2_2013-01-11,Inf
1_2_2013-01-18,Inf
1_2_2013-01-25,Inf
1_2_2013-02-01,Inf
1_2_2013-02-08,Inf
1_2_2013-02-15,Inf
1_2_2013-02-22,Inf
1_2_2013-03-01,Inf
1_2_2013-03-08,Inf
1_2_2013-03-15,Inf
1_2_2013-03-22,Inf
1_2_2013-03-29,Inf
1_2_2013-04-05,Inf
1_2_2013-04-12,Inf
1_2_2013-04-19,Inf
1_2_2013-04-26,Inf
1_2_2013-05-03,Inf
1_2_2013-05-10,Inf
1_2_2013-05-17,Inf
1_2_2013-05-24,Inf
1_2_2013-05-31,Inf
1_2_2013-06-07,Inf
1_2_2013-06-14,Inf
1_2_2013-06-21,Inf
1_2_2013-06-28,Inf
1_2_2013-07-05,Inf
1_2_2013-07-12,Inf
1_2_2013-07-19,Inf
1_2_2013-07-26,Inf
1_3_2012-11-02,Inf
1_3_2012-11-09,Inf
1_3_2012-11-16,Inf
1_3_2012-11-23,Inf
1_3_2012-11-30,Inf
1_3_2012-12-07,Inf
1_3_2012-12-14,Inf
1_3_2012-12-21,Inf
1_3_2012-12-28,Inf
1_3_2013-01-04,Inf
1_3_2013-01-11,Inf
1_3_2013-01-18,Inf
1_3_2013-01-25,Inf
1_3_2013-02-01,Inf
1_3_2013-02-08,Inf
1_3_2013-02-15,Inf
1_3_2013-02-22,Inf
1_3_2013-03-01,Inf
1_3_2013-03-08,Inf
1_3_2013-03-15,Inf
1_3_2013-03-22,Inf
1_3_2013-03-29,Inf
1_3_2013-04-05,Inf
1_3_2013-04-12,Inf
1_3_2013-04-19,Inf
1_3_2013-04-26,Inf
1_3_2013-05-03,Inf
1_3_2013-05-10,Inf
1_3_2013-05-17,Inf
1_3_2013-05-24,Inf
1_3_2013-05-31,Inf
1_3_2013-06-07,Inf
1_3_2013-06-14,Inf
1_3_2013-06-21,Inf
1_3_2013-06-28,Inf
1_3_2013-07-05,Inf
1_3_2013-07-12,Inf
1_3_2013-07-19,Inf
1_3_2013-07-26,Inf
1_4_2012-11-02,Inf
1_4_2012-11-09,Inf
1_4_2012-11-16,Inf
1_4_2012-11-23,Inf
1_4_2012-11-30,Inf
1_4_2012-12-07,Inf
1_4_2012-12-14,Inf
1_4_2012-12-21,Inf
1_4_2012-12-28,Inf
1_4_2013-01-04,Inf
1_4_2013-01-11,Inf
1_4_2013-01-18,Inf
1_4_2013-01-25,Inf
1_4_2013-02-01,Inf
1_4_2013-02-08,Inf
1_4_2013-02-15,Inf
1_4_2013-02-22,Inf
1_4_2013-03-01,Inf
1_4_2013-03-08,Inf
1_4_2013-03-15,Inf
1_4_2013-03-22,Inf
1_4_2013-03-29,Inf
1_4_2013-04-05,Inf
1_4_2013-04-12,Inf
1_4_2013-04-19,Inf
1_4_2013-04-26,Inf
1_4_2013-05-03,Inf
1_4_2013-05-10,Inf
1_4_2013-05-17,Inf
1_4_2013-05-24,Inf
1_4_2013-05-31,Inf
1_4_2013-06-07,Inf
1_4_2013-06-14,Inf
1_4_2013-06-21,Inf
1_4_2013-06-28,Inf
1_4_2013-07-05,Inf
1_4_2013-07-12,Inf
1_4_2013-07-19,Inf
1_4_2013-07-26,Inf
1_5_2012-11-02,Inf
1_5_2012-11-09,Inf
1_5_2012-11-16,Inf
1_5_2012-11-23,Inf
1_5_2012-11-30,Inf
1_5_2012-12-07,Inf
1_5_2012-12-14,Inf
1_5_2012-12-21,Inf
1_5_2012-12-28,Inf
1_5_2013-01-04,Inf
1_5_2013-01-11,Inf
1_5_2013-01-18,Inf
1_5_2013-01-25,Inf
1_5_2013-02-01,Inf
1_5_2013-02-08,Inf
1_5_2013-02-15,Inf
1_5_2013-02-22,Inf
1_5_2013-03-01,Inf
1_5_2013-03-08,Inf
1_5_2013-03-15,Inf
1_5_2013-03-22,Inf
1_5_2013-03-29,Inf
1_5_2013-04-05,Inf
1_5_2013-04-12,Inf
1_5_2013-04-19,Inf
1_5_2013-04-26,Inf
1_5_2013-05-03,Inf
1_5_2013-05-10,Inf
1_5_2013-05-17,Inf
1_5_2013-05-24,Inf
1_5_2013-05-31,Inf
1_5_2013-06-07,Inf
1_5_2013-06-14,Inf
1_5_2013-06-21,Inf
1_5_2013-06-28,Inf
1_5_2013-07-05,Inf
1_5_2013-07-12,Inf
1_5_2013-07-19,Inf
1_5_2013-07-26,Inf
1_6_2012-11-02,Inf
1_6_2012-11-09,Inf
1_6_2012-11-16,Inf
1_6_2012-11-23,Inf
1_6_2012-11-30,Inf
1_6_2012-12-07,Inf
1_6_2012-12-14,Inf
1_6_2012-12-21,Inf
1_6_2012-12-28,Inf
1_6_2013-01-04,Inf
1_6_2013-01-11,Inf
1_6_2013-01-18,Inf
1_6_2013-01-25,Inf
1_6_2013-02-01,Inf
1_6_2013-02-08,Inf
1_6_2013-02-15,Inf
1_6_2013-02-22,Inf
1_6_2013-03-01,Inf
1_6_2013-03-08,Inf
1_6_2013-03-15,Inf
1_6_2013-03-22,Inf
1_6_2013-03-29,Inf
1_6_2013-04-05,Inf
1_6_2013-04-12,Inf
1_6_2013-04-19,Inf
1_6_2013-04-26,Inf
1_6_2013-05-03,Inf
1_6_2013-05-10,Inf
1_6_2013-05-17,Inf
1_6_2013-05-24,Inf
1_6_2013-05-31,Inf
1_6_2013-06-07,Inf
1_6_2013-06-14,Inf
1_6_2013-06-21,Inf
1_6_2013-06-28,Inf
1_6_2013-07-05,Inf
1_6_2013-07-12,Inf
1_6_2013-07-19,Inf
1_6_2013-07-26,Inf
1_7_2012-11-02,Inf
1_7_2012-11-09,Inf
1_7_2012-11-16,Inf
1_7_2012-11-23,Inf
1_7_2012-11-30,Inf
1_7_2012-12-07,Inf
1_7_2012-12-14,Inf
1_7_2012-12-21,Inf
1_7_2012-12-28,Inf
1_7_2013-01-04,Inf
1_7_2013-01-11,Inf
1_7_2013-01-18,Inf
1_7_2013-01-25,Inf
1_7_2013-02-01,Inf
1_7_2013-02-08,Inf
1_7_2013-02-15,Inf
1_7_2013-02-22,Inf
1_7_2013-03-01,Inf
1_7_2013-03-08,Inf
1_7_2013-03-15,Inf
1_7_2013-03-22,Inf
1_7_2013-03-29,Inf
1_7_2013-04-05,Inf
1_7_2013-04-12,Inf
1_7_2013-04-19,Inf
1_7_2013-04-26,Inf
1_7_2013-05-03,Inf
1_7_2013-05-10,Inf
1_7_2013-05-17,Inf
1_7_2013-05-24,Inf
1_7_2013-05-31,Inf
1_7_2013-06-07,Inf
1_7_2013-06-14,Inf
1_7_2013-06-21,Inf
1_7_2013-06-28,Inf
1_7_2013-07-05,Inf
