Id,Weekly_Sales
1_1_2012-11-02,30447.0863041482
1_1_2012-11-09,22261.9743058427
1_1_2012-11-16,25963.6515098874
1_1_2012-11-23,23715.316227551
1_1_2012-11-30,26514.8989888623
1_1_2012-12-07,27568.8312684203
1_1_2012-12-14,38590.7172821177
1_1_2012-12-21,39448.3844986856
1_1_2012-12-28,23900.9270051729
1_1_2013-01-04,19399.3382276647
1_1_2013-01-11,18382.6492356381
1_1_2013-01-18,19764.5068877651
1_1_2013-01-25,18958.3219399776
1_1_2013-02-01,24093.7196932723
1_1_2013-02-08,33950.5268734994
1_1_2013-02-15,37368.8511222587
1_1_2013-02-22,25539.4489114537
1_1_2013-03-01,25375.6378333314
1_1_2013-03-08,23757.4817183696
1_1_2013-03-15,23388.8236158897
1_1_2013-03-22,22278.0903821918
1_1_2013-03-29,25146.1348692813
1_1_2013-04-05,28638.2682655018
1_1_2013-04-12,26616.4321574983
1_1_2013-04-19,20802.9759972463
1_1_2013-04-26,19896.6698324962
1_1_2013-05-03,19906.3702842312
1_1_2013-05-10,19820.1143326714
1_1_2013-05-17,19746.7231496263
1_1_2013-05-24,16748.3078737245
1_1_2013-05-31,16704.8130016833
1_1_2013-06-07,17247.5974373059
1_1_2013-06-14,17237.6527543174
1_1_2013-06-21,16733.2009155084
1_1_2013-06-28,16441.1937337539
1_1_2013-07-05,17188.2863073883
1_1_2013-07-12,16826.5000955756
1_1_2013-07-19,16728.7937976952
1_1_2013-07-26,16547.4012240348
1_2_2012-11-02,47071.5547146943
1_2_2012-11-09,45880.1600686262
1_2_2012-11-16,43856.5448915012
1_2_2012-11-23,44137.1754331707
1_2_2012-11-30,44789.5639454779
1_2_2012-12-07,47735.1347733634
1_2_2012-12-14,48911.963707567
1_2_2012-12-21,53266.0031041562
1_2_2012-12-28,45530.2030837252
1_2_2013-01-04,46246.4268772797
1_2_2013-01-11,45776.3370326778
1_2_2013-01-18,43563.1034367031
1_2_2013-01-25,43503.2903919985
1_2_2013-02-01,50910.8712357118
1_2_2013-02-08,50274.4997243228
1_2_2013-02-15,46465.9936232077
1_2_2013-02-22,46550.7233606039
1_2_2013-03-01,50145.0659781196
1_2_2013-03-08,48895.1542129214
1_2_2013-03-15,46011.9906025253
1_2_2013-03-22,45429.9093796633
1_2_2013-03-29,45599.1095318833
1_2_2013-04-05,49150.9192440806
1_2_2013-04-12,45339.9562101758
1_2_2013-04-19,45252.8570939772
1_2_2013-04-26,45508.7835507111
1_2_2013-05-03,49018.9251639686
1_2_2013-05-10,47560.8030955401
1_2_2013-05-17,45153.7599372269
1_2_2013-05-24,45459.4331555993
1_2_2013-05-31,45806.1362465817
1_2_2013-06-07,48321.2404659595
1_2_2013-06-14,45561.9171564415
1_2_2013-06-21,45687.1193007495
1_2_2013-06-28,45868.2179736798
1_2_2013-07-05,48389.5693226433
1_2_2013-07-12,45396.0907155946
1_2_2013-07-19,45220.6567043465
1_2_2013-07-26,45295.9605635022
1_3_2012-11-02,10237.5629519623
1_3_2012-11-09,10279.9527690942
1_3_2012-11-16,10235.2267014074
1_3_2012-11-23,10150.7846762291
1_3_2012-11-30,10684.3596117118
1_3_2012-12-07,11332.5556293989
1_3_2012-12-14,11693.0356155679
1_3_2012-12-21,11514.3415147317
1_3_2012-12-28,9920.20654266011
1_3_2013-01-04,15654.0772757398
1_3_2013-01-11,15477.0445615545
1_3_2013-01-18,14422.920860775
1_3_2013-01-25,14157.7228993877
1_3_2013-02-01,14410.2237074903
1_3_2013-02-08,14601.8158023216
1_3_2013-02-15,13597.6182922157
1_3_2013-02-22,13638.0342507435
1_3_2013-03-01,14110.3572725352
1_3_2013-03-08,14265.6095986388
1_3_2013-03-15,12717.0137766423
1_3_2013-03-22,12211.5613218791
1_3_2013-03-29,12788.8211269242
1_3_2013-04-05,12909.3796548941
1_3_2013-04-12,12538.9062721569
1_3_2013-04-19,12060.4518683947
1_3_2013-04-26,12529.212609165
1_3_2013-05-03,12855.8868620628
1_3_2013-05-10,12832.4694790966
1_3_2013-05-17,11801.3318229132
1_3_2013-05-24,11999.6481516498
1_3_2013-05-31,12671.8364145287
1_3_2013-06-07,11813.6004226451
1_3_2013-06-14,11918.6583786826
1_3_2013-06-21,11589.6235137822
1_3_2013-06-28,11207.3213049843
1_3_2013-07-05,12580.3247053825
1_3_2013-07-12,15775.8742908235
1_3_2013-07-19,20338.9016169548
1_3_2013-07-26,23896.5239064644
1_4_2012-11-02,38756.9295708285
1_4_2012-11-09,38272.1487705189
1_4_2012-11-16,36968.3655227119
1_4_2012-11-23,45627.6394648571
1_4_2012-11-30,41983.1455837409
1_4_2012-12-07,41467.5246319773
1_4_2012-12-14,39146.6625684419
1_4_2012-12-21,44340.6785564905
1_4_2012-12-28,38411.0532025379
1_4_2013-01-04,40075.2361451519
1_4_2013-01-11,37481.8580719601
1_4_2013-01-18,36466.8285140274
1_4_2013-01-25,36203.267373298
1_4_2013-02-01,39831.7755952845
1_4_2013-02-08,39279.1683966106
1_4_2013-02-15,36538.5062812138
1_4_2013-02-22,36052.8119493851
1_4_2013-03-01,39095.345372293
1_4_2013-03-08,39012.3563429364
1_4_2013-03-15,36545.9648423046
1_4_2013-03-22,36303.2785403052
1_4_2013-03-29,36382.3715962403
1_4_2013-04-05,39535.8955733038
1_4_2013-04-12,36570.3948773057
1_4_2013-04-19,36416.2063360476
1_4_2013-04-26,36346.5477166597
1_4_2013-05-03,39805.7421041361
1_4_2013-05-10,38747.9840274514
1_4_2013-05-17,36204.8305214662
1_4_2013-05-24,37165.852340754
1_4_2013-05-31,37422.886093047
1_4_2013-06-07,40323.1039869149
1_4_2013-06-14,37653.3323601652
1_4_2013-06-21,37416.5696940188
1_4_2013-06-28,37535.8597679266
1_4_2013-07-05,40893.9969487669
1_4_2013-07-12,37554.5947771961
1_4_2013-07-19,37116.2920411975
1_4_2013-07-26,36734.7994567849
1_5_2012-11-02,28524.7352403847
1_5_2012-11-09,28686.965753187
1_5_2012-11-16,28107.7960021473
1_5_2012-11-23,72268.7868519401
1_5_2012-11-30,53237.1456654731
1_5_2012-12-07,51881.2619042684
1_5_2012-12-14,44417.306211659
1_5_2012-12-21,61084.2927231536
1_5_2012-12-28,37469.8319513734
1_5_2013-01-04,23553.097112487
