Id,Weekly_Sales
1_1_2012-11-02,16241.78
1_1_2012-11-09,18194.74
1_1_2012-11-16,19354.23
1_1_2012-11-23,18122.52
1_1_2012-11-30,20094.19
1_1_2012-12-07,23388.03
1_1_2012-12-14,26978.34
1_1_2012-12-21,25543.04
1_1_2012-12-28,38640.93
1_1_2013-01-04,34238.88
1_1_2013-01-11,19549.39
1_1_2013-01-18,19552.84
1_1_2013-01-25,18820.29
1_1_2013-02-01,22517.56
1_1_2013-02-08,31497.65
1_1_2013-02-15,44912.86
1_1_2013-02-22,55931.23
1_1_2013-03-01,19124.58
1_1_2013-03-08,15984.24
1_1_2013-03-15,17359.7
1_1_2013-03-22,17341.47
1_1_2013-03-29,18461.18
1_1_2013-04-05,21665.76
1_1_2013-04-12,37887.17
1_1_2013-04-19,46845.87
1_1_2013-04-26,19363.83
1_1_2013-05-03,20327.61
1_1_2013-05-10,21280.4
1_1_2013-05-17,20334.23
1_1_2013-05-24,20881.1
1_1_2013-05-31,20398.09
1_1_2013-06-07,23873.79
1_1_2013-06-14,28762.37
1_1_2013-06-21,50510.31
1_1_2013-06-28,41512.39
1_1_2013-07-05,20138.19
1_1_2013-07-12,17235.15
1_1_2013-07-19,15136.78
1_1_2013-07-26,15741.6
1_2_2012-11-02,44682.74
1_2_2012-11-09,47928.89
1_2_2012-11-16,44292.87
1_2_2012-11-23,48397.98
1_2_2012-11-30,43751.94
1_2_2012-12-07,43615.49
1_2_2012-12-14,41892.55
1_2_2012-12-21,47450.5
1_2_2012-12-28,46549.73
1_2_2013-01-04,45025.02
1_2_2013-01-11,44418.11
1_2_2013-01-18,45971.3
1_2_2013-01-25,47903.01
1_2_2013-02-01,43675.61
1_2_2013-02-08,44319.15
1_2_2013-02-15,44619.52
1_2_2013-02-22,48754.47
1_2_2013-03-01,47089.54
1_2_2013-03-08,44428.71
1_2_2013-03-15,45299.92
1_2_2013-03-22,47077.72
1_2_2013-03-29,46752.12
1_2_2013-04-05,44339.2
1_2_2013-04-12,44763.33
1_2_2013-04-19,45833.77
1_2_2013-04-26,50031.73
1_2_2013-05-03,45475.69
1_2_2013-05-10,49754.17
1_2_2013-05-17,49623.53
1_2_2013-05-24,49015.05
1_2_2013-05-31,45182.5
1_2_2013-06-07,44681.64
1_2_2013-06-14,42477.49
1_2_2013-06-21,45829.02
1_2_2013-06-28,46387.54
1_2_2013-07-05,43110.79
1_2_2013-07-12,42371.48
1_2_2013-07-19,44081.33
1_2_2013-07-26,46381.43
1_3_2012-11-02,41603.11
1_3_2012-11-09,49775.52
1_3_2012-11-16,19604.47
1_3_2012-11-23,12778.28
1_3_2012-11-30,10412.88
1_3_2012-12-07,9755.56
1_3_2012-12-14,10434.83
1_3_2012-12-21,9977.96
1_3_2012-12-28,9870.22
1_3_2013-01-04,10136.78
1_3_2013-01-11,9421.2
1_3_2013-01-18,9189.2
1_3_2013-01-25,9959.64
1_3_2013-02-01,10104.36
1_3_2013-02-08,9317.56
1_3_2013-02-15,10146.54
1_3_2013-02-22,12955.55
1_3_2013-03-01,13180.05
1_3_2013-03-08,13667.88
1_3_2013-03-15,8848.44
1_3_2013-03-22,13926.04
1_3_2013-03-29,13822.49
1_3_2013-04-05,11702.08
1_3_2013-04-12,10613.17
1_3_2013-04-19,12485.78
1_3_2013-04-26,12388.85
1_3_2013-05-03,10237.78
1_3_2013-05-10,10502.4
1_3_2013-05-17,11387.31
1_3_2013-05-24,11925.71
1_3_2013-05-31,8845.73
1_3_2013-06-07,7910.22
1_3_2013-06-14,9129.23
1_3_2013-06-21,9335.24
1_3_2013-06-28,7927.73
1_3_2013-07-05,8647.36
1_3_2013-07-12,8635.62
1_3_2013-07-19,10655.35
1_3_2013-07-26,10342.72
1_4_2012-11-02,36380.36
1_4_2012-11-09,40548.19
1_4_2012-11-16,36579.96
1_4_2012-11-23,35059.52
1_4_2012-11-30,34454.69
1_4_2012-12-07,39773.71
1_4_2012-12-14,39781.45
1_4_2012-12-21,35234.66
1_4_2012-12-28,36624.71
1_4_2013-01-04,36419.68
1_4_2013-01-11,40973.88
1_4_2013-01-18,36461.66
1_4_2013-01-25,39706.1
1_4_2013-02-01,36404.6
1_4_2013-02-08,38321.88
1_4_2013-02-15,36603.78
1_4_2013-02-22,33999.01
1_4_2013-03-01,32497.43
1_4_2013-03-08,34912.45
1_4_2013-03-15,35772.82
1_4_2013-03-22,34693.27
1_4_2013-03-29,32902.26
1_4_2013-04-05,35202.44
1_4_2013-04-12,37980.55
1_4_2013-04-19,35008.03
1_4_2013-04-26,37078.61
1_4_2013-05-03,46201.27
1_4_2013-05-10,37110.55
1_4_2013-05-17,36364.31
1_4_2013-05-24,39154.41
1_4_2013-05-31,47893.23
1_4_2013-06-07,36913.8
1_4_2013-06-14,37947.8
1_4_2013-06-21,34393.95
1_4_2013-06-28,33735.58
1_4_2013-07-05,32905.88
1_4_2013-07-12,35870.49
1_4_2013-07-19,37373.33
1_4_2013-07-26,36479.25
1_5_2012-11-02,22685.69
1_5_2012-11-09,18719.22
1_5_2012-11-16,23598.55
1_5_2012-11-23,22393.09
1_5_2012-11-30,22719.82
1_5_2012-12-07,21786.16
1_5_2012-12-14,17503.28
1_5_2012-12-21,16195.54
1_5_2012-12-28,15587.78
1_5_2013-01-04,15575.25
1_5_2013-01-11,16613.98
1_5_2013-01-18,16848.76
1_5_2013-01-25,18648.73
1_5_2013-02-01,17861.56
1_5_2013-02-08,21695.24
1_5_2013-02-15,19239.86
1_5_2013-02-22,17989.45
1_5_2013-03-01,18444.8
1_5_2013-03-08,19331.53
1_5_2013-03-15,17406.68
1_5_2013-03-22,21183.42
1_5_2013-03-29,21320.93
1_5_2013-04-05,18643.51
1_5_2013-04-12,15478.26
1_5_2013-04-19,20432.91
1_5_2013-04-26,19075.78
1_5_2013-05-03,19386.23
1_5_2013-05-10,20562.37
1_5_2013-05-17,16385.37
1_5_2013-05-24,30352.06
1_5_2013-05-31,22917.89
1_5_2013-06-07,32700.34
1_5_2013-06-14,26391.79
1_5_2013-06-21,31956.07
1_5_2013-06-28,31002.65
1_5_2013-07-05,27339.37
1_5_2013-07-12,79340.15
1_5_2013-07-19,32572.27
1_5_2013-07-26,41782.13
1_6_2012-11-02,2889.22
1_6_2012-11-09,4508.3
1_6_2012-11-16,3249.27
1_6_2012-11-23,3340.31
1_6_2012-11-30,3798.07
1_6_2012-12-07,2995.07
1_6_2012-12-14,4298.02
1_6_2012-12-21,7213.53
1_6_2012-12-28,4162.52
1_6_2013-01-04,4640.76
1_6_2013-01-11,5572.35
1_6_2013-01-18,4021.54
1_6_2013-01-25,3079.94
1_6_2013-02-01,3004.81
1_6_2013-02-08,3020.07
1_6_2013-02-15,4047.92
1_6_2013-02-22,3412.08
1_6_2013-03-01,3154.33
1_6_2013-03-08,3665.52
1_6_2013-03-15,2839.92
1_6_2013-03-22,2864.27
1_6_2013-03-29,3124.83
1_6_2013-04-05,3717.28
1_6_2013-04-12,3296.22
1_6_2013-04-19,3461.79
1_6_2013-04-26,6147.43
1_6_2013-05-03,3806.5
1_6_2013-05-10,4718.28
1_6_2013-05-17,3489.24
1_6_2013-05-24,4733.74
1_6_2013-05-31,4248.69
1_6_2013-06-07,5111.85
1_6_2013-06-14,6227.43
1_6_2013-06-21,6223.03
1_6_2013-06-28,3527.62
1_6_2013-07-05,2640.98
1_6_2013-07-12,18629.83
1_6_2013-07-19,5240.63
