Id,Weekly_Sales
1_1_2012-11-02,31789.5377624
1_1_2012-11-09,32410.3456312
1_1_2012-11-16,25017.1468535
1_1_2012-11-23,24893.9358144
1_1_2012-11-30,31473.9188343
1_1_2012-12-07,25388.437351
1_1_2012-12-14,20597.6657948
1_1_2012-12-21,36681.4840868
1_1_2012-12-28,32659.3106139
1_1_2013-01-04,24566.8012974
1_1_2013-01-11,25777.8077547
1_1_2013-01-18,31208.0191501
1_1_2013-01-25,22228.3476741
1_1_2013-02-01,26739.6063288
1_1_2013-02-08,30291.6096149
1_1_2013-02-15,21982.4289615
1_1_2013-02-22,25761.9535773
1_1_2013-03-01,26475.0246817
1_1_2013-03-08,25571.9340963
1_1_2013-03-15,35198.063538
1_1_2013-03-22,25108.4238199
1_1_2013-03-29,25728.366136
1_1_2013-04-05,24857.2717655
1_1_2013-04-12,24747.6917568
1_1_2013-04-19,22970.5233122
1_1_2013-04-26,22772.8297908
1_1_2013-05-03,26864.2748647
1_1_2013-05-10,17092.0035113
1_1_2013-05-17,21073.2271379
1_1_2013-05-24,21386.7183589
1_1_2013-05-31,20498.6604665
1_1_2013-06-07,22049.6459789
1_1_2013-06-14,32269.5688933
1_1_2013-06-21,19066.6465586
1_1_2013-06-28,18582.1505551
1_1_2013-07-05,14460.6810951
1_1_2013-07-12,11243.6438224
1_1_2013-07-19,12021.594892
1_1_2013-07-26,25485.2492749
1_2_2012-11-02,46399.8408136
1_2_2012-11-09,44883.3372891
1_2_2012-11-16,46093.0633249
1_2_2012-11-23,43439.6961841
1_2_2012-11-30,47602.432497
1_2_2012-12-07,50190.2616911
1_2_2012-12-14,45955.0619965
1_2_2012-12-21,46153.0462231
1_2_2012-12-28,46343.8817771
1_2_2013-01-04,48125.9747606
1_2_2013-01-11,42069.8931228
1_2_2013-01-18,52557.1389535
1_2_2013-01-25,41182.5324555
1_2_2013-02-01,50616.4095169
1_2_2013-02-08,41132.5351808
1_2_2013-02-15,47770.5006543
1_2_2013-02-22,44435.1745633
1_2_2013-03-01,51449.0388285
1_2_2013-03-08,53276.062358
1_2_2013-03-15,47827.1081345
1_2_2013-03-22,43497.817263
1_2_2013-03-29,45586.7199757
1_2_2013-04-05,48418.7838771
1_2_2013-04-12,44289.384299
1_2_2013-04-19,49471.0291097
1_2_2013-04-26,41268.8535728
1_2_2013-05-03,48683.5369819
1_2_2013-05-10,40570.3270498
1_2_2013-05-17,51602.9262237
1_2_2013-05-24,42713.1072103
1_2_2013-05-31,55322.3549548
1_2_2013-06-07,43429.3085724
1_2_2013-06-14,51171.3005775
1_2_2013-06-21,46429.987414
1_2_2013-06-28,43662.7227961
1_2_2013-07-05,46447.0162126
1_2_2013-07-12,45819.3008389
1_2_2013-07-19,46063.426098
1_2_2013-07-26,45749.0693067
1_3_2012-11-02,3472.64244824
1_3_2012-11-09,4143.19336905
1_3_2012-11-16,-3369.46629879
1_3_2012-11-23,-552.812586115
1_3_2012-11-30,463.942444476
1_3_2012-12-07,-2272.78735302
1_3_2012-12-14,7051.2328675
1_3_2012-12-21,13558.6824783
1_3_2012-12-28,10157.3980767
1_3_2013-01-04,6879.05118354
1_3_2013-01-11,14966.9851518
1_3_2013-01-18,19683.3681554
1_3_2013-01-25,19543.0328461
1_3_2013-02-01,15061.4626712
1_3_2013-02-08,13574.6864746
1_3_2013-02-15,20076.262391
1_3_2013-02-22,22481.6696933
1_3_2013-03-01,14244.6638053
1_3_2013-03-08,18224.7327589
1_3_2013-03-15,12695.9967209
1_3_2013-03-22,10879.8115023
1_3_2013-03-29,11933.3744905
1_3_2013-04-05,18470.8842011
1_3_2013-04-12,13280.8813435
1_3_2013-04-19,16973.189555
1_3_2013-04-26,10677.2085696
1_3_2013-05-03,1613.12446781
1_3_2013-05-10,2640.65754308
1_3_2013-05-17,3002.50784433
1_3_2013-05-24,-1180.65770651
1_3_2013-05-31,-1352.7800736
1_3_2013-06-07,2891.91840475
1_3_2013-06-14,2220.56381381
1_3_2013-06-21,2360.52338095
1_3_2013-06-28,1391.56174821
1_3_2013-07-05,7242.26326903
1_3_2013-07-12,12467.5113683
1_3_2013-07-19,18677.7937335
1_3_2013-07-26,20790.7988906
1_4_2012-11-02,43672.1574526
1_4_2012-11-09,40626.328564
1_4_2012-11-16,36058.5302336
1_4_2012-11-23,39835.3217276
1_4_2012-11-30,42058.3316886
1_4_2012-12-07,42651.4885177
1_4_2012-12-14,37143.6220044
1_4_2012-12-21,42745.7009093
1_4_2012-12-28,38359.4779617
1_4_2013-01-04,39887.3144497
1_4_2013-01-11,38615.1873562
1_4_2013-01-18,42892.4860329
1_4_2013-01-25,34437.5035238
1_4_2013-02-01,40105.4877097
1_4_2013-02-08,39126.9519872
1_4_2013-02-15,38764.6621096
1_4_2013-02-22,33762.7570937
1_4_2013-03-01,40705.7578077
1_4_2013-03-08,43001.130068
1_4_2013-03-15,34970.1493605
1_4_2013-03-22,38193.0216826
1_4_2013-03-29,38628.5326116
1_4_2013-04-05,41438.788901
1_4_2013-04-12,38136.4527053
1_4_2013-04-19,42083.6053712
1_4_2013-04-26,36819.0885319
1_4_2013-05-03,43455.2539803
1_4_2013-05-10,38105.4303595
1_4_2013-05-17,43080.5210101
1_4_2013-05-24,36121.8137232
1_4_2013-05-31,41580.0639127
1_4_2013-06-07,38378.6552728
1_4_2013-06-14,40574.0232181
1_4_2013-06-21,37910.9721788
1_4_2013-06-28,39092.3867631
1_4_2013-07-05,40104.4891247
1_4_2013-07-12,37055.781507
1_4_2013-07-19,39442.3612053
1_4_2013-07-26,40344.3478071
1_5_2012-11-02,30613.303676
1_5_2012-11-09,35023.8992685
1_5_2012-11-16,34896.7924004
1_5_2012-11-23,40561.9268353
1_5_2012-11-30,35010.0687022
1_5_2012-12-07,50832.1986501
1_5_2012-12-14,36251.1522234
1_5_2012-12-21,44393.5973028
1_5_2012-12-28,35187.0379133
1_5_2013-01-04,35446.1106558
1_5_2013-01-11,18488.7124551
1_5_2013-01-18,44227.4864699
1_5_2013-01-25,26344.3208179
1_5_2013-02-01,26950.9001118
1_5_2013-02-08,23312.6523944
1_5_2013-02-15,27747.6351428
