Id,Weekly_Sales
1_1_2012-11-02,25798.3426927
1_1_2012-11-09,23919.3417845
1_1_2012-11-16,23155.5588031
1_1_2012-11-23,23714.9101968
1_1_2012-11-30,24536.1588316
1_1_2012-12-07,24680.7732225
1_1_2012-12-14,25805.1263268
1_1_2012-12-21,25780.8364205
1_1_2012-12-28,24636.1264681
1_1_2013-01-04,23907.5126057
1_1_2013-01-11,22964.5783089
1_1_2013-01-18,22641.5864981
1_1_2013-01-25,22530.4836065
1_1_2013-02-01,22504.9836371
1_1_2013-02-08,22858.1193185
1_1_2013-02-15,22808.0774378
1_1_2013-02-22,22632.7439808
1_1_2013-03-01,22111.4840155
1_1_2013-03-08,21476.1464375
1_1_2013-03-15,21263.5360403
1_1_2013-03-22,21101.6501561
1_1_2013-03-29,21235.8780956
1_1_2013-04-05,21558.4062751
1_1_2013-04-12,21777.2067346
1_1_2013-04-19,21891.6108478
1_1_2013-04-26,21726.2714472
1_1_2013-05-03,21562.7109419
1_1_2013-05-10,21470.132434
1_1_2013-05-17,21430.9466959
1_1_2013-05-24,21604.5690321
1_1_2013-05-31,21833.4598637
1_1_2013-06-07,22077.7483622
1_1_2013-06-14,22243.4455864
1_1_2013-06-21,22251.1482897
1_1_2013-06-28,22215.7452748
1_1_2013-07-05,22137.2989716
1_1_2013-07-12,22103.6415294
1_1_2013-07-19,22155.285958
1_1_2013-07-26,22251.012341
1_2_2012-11-02,47586.0177336
1_2_2012-11-09,45834.6685815
1_2_2012-11-16,46795.6140502
1_2_2012-11-23,46014.6765756
1_2_2012-11-30,47156.040115
1_2_2012-12-07,45825.3247088
1_2_2012-12-14,45658.7866035
1_2_2012-12-21,45586.331738
1_2_2012-12-28,45837.9277631
1_2_2013-01-04,46084.8137539
1_2_2013-01-11,45512.5268051
1_2_2013-01-18,46301.5396933
1_2_2013-01-25,46251.2617693
1_2_2013-02-01,46775.2991026
1_2_2013-02-08,45973.7081576
1_2_2013-02-15,46316.1424535
1_2_2013-02-22,45945.048568
1_2_2013-03-01,46225.4491229
1_2_2013-03-08,45875.5485748
1_2_2013-03-15,46081.507194
1_2_2013-03-22,46081.0895548
1_2_2013-03-29,46194.5753951
1_2_2013-04-05,46209.3075214
1_2_2013-04-12,46142.5127049
1_2_2013-04-19,46258.2571503
1_2_2013-04-26,46129.9239173
1_2_2013-05-03,46202.5979161
1_2_2013-05-10,46025.6227582
1_2_2013-05-17,46167.7765084
1_2_2013-05-24,46067.5924502
1_2_2013-05-31,46179.2378557
1_2_2013-06-07,46097.7304046
1_2_2013-06-14,46186.0920515
1_2_2013-06-21,46147.8748529
1_2_2013-06-28,46172.5122326
1_2_2013-07-05,46146.0515579
1_2_2013-07-12,46137.1095755
1_2_2013-07-19,46147.857003
1_2_2013-07-26,46120.7838238
1_3_2012-11-02,7569.74529036
1_3_2012-11-09,8956.46567636
1_3_2012-11-16,7730.37720571
1_3_2012-11-23,7286.44047205
1_3_2012-11-30,6032.75580867
1_3_2012-12-07,7189.81528499
1_3_2012-12-14,9061.53161107
1_3_2012-12-21,11057.2097937
1_3_2012-12-28,12165.9929678
1_3_2013-01-04,13727.3483337
1_3_2013-01-11,14575.5208337
1_3_2013-01-18,15645.0609183
1_3_2013-01-25,15971.1102267
1_3_2013-02-01,16185.6126704
1_3_2013-02-08,15942.2060372
1_3_2013-02-15,15711.5716734
1_3_2013-02-22,15342.9370804
1_3_2013-03-01,15139.1309542
1_3_2013-03-08,14762.5720403
1_3_2013-03-15,14401.7914171
1_3_2013-03-22,13888.3539748
1_3_2013-03-29,13475.416389
1_3_2013-04-05,13033.8487063
1_3_2013-04-12,12686.2628081
1_3_2013-04-19,12354.4222283
1_3_2013-04-26,12142.6182073
1_3_2013-05-03,12003.6563063
1_3_2013-05-10,12003.1406437
1_3_2013-05-17,12068.4580418
1_3_2013-05-24,12222.1485361
1_3_2013-05-31,12393.4019744
1_3_2013-06-07,12598.0178179
1_3_2013-06-14,12794.9383721
1_3_2013-06-21,12997.0800752
1_3_2013-06-28,13172.036294
1_3_2013-07-05,13328.7234808
1_3_2013-07-12,13448.4114038
1_3_2013-07-19,13544.0575525
1_3_2013-07-26,13603.7056256
