Id,Weekly_Sales
1_1_2012-11-02,26833.0672717
1_1_2012-11-09,33013.3692232
1_1_2012-11-16,30427.030058
1_1_2012-11-23,23154.1556928
1_1_2012-11-30,23445.01807
1_1_2012-12-07,23177.2951294
1_1_2012-12-14,25583.6078354
1_1_2012-12-21,30608.8145945
1_1_2012-12-28,37020.931937
1_1_2013-01-04,42260.380109
1_1_2013-01-11,23328.7016655
1_1_2013-01-18,21744.8896595
1_1_2013-01-25,22122.4450768
1_1_2013-02-01,21955.9736127
1_1_2013-02-08,22889.9244233
1_1_2013-02-15,24410.2254463
1_1_2013-02-22,32269.8793341
1_1_2013-03-01,36373.465501
1_1_2013-03-08,22229.4641127
1_1_2013-03-15,22200.1457141
1_1_2013-03-22,22153.4593461
1_1_2013-03-29,21390.6427605
1_1_2013-04-05,21423.6489076
1_1_2013-04-12,20879.6162361
1_1_2013-04-19,22372.8610312
1_1_2013-04-26,24460.3303171
1_1_2013-05-03,35105.6334197
1_1_2013-05-10,30327.8266563
1_1_2013-05-17,19371.3339349
1_1_2013-05-24,17868.7617116
1_1_2013-05-31,16719.7318455
1_1_2013-06-07,17030.3911447
1_1_2013-06-14,17348.8677966
1_1_2013-06-21,17167.4342725
1_1_2013-06-28,16804.4955468
1_1_2013-07-05,17210.607503
1_1_2013-07-12,17207.6106422
1_1_2013-07-19,17714.7265171
1_1_2013-07-26,17620.0514836
1_2_2012-11-02,45033.2575946
1_2_2012-11-09,45313.4496558
1_2_2012-11-16,45306.4308454
1_2_2012-11-23,44457.0367128
1_2_2012-11-30,46291.2630194
1_2_2012-12-07,44833.9435344
1_2_2012-12-14,47285.7588379
1_2_2012-12-21,45409.7137648
1_2_2012-12-28,46501.001227
1_2_2013-01-04,47074.517107
1_2_2013-01-11,46861.721219
1_2_2013-01-18,44248.4858611
1_2_2013-01-25,44210.4526629
1_2_2013-02-01,45778.5029523
1_2_2013-02-08,45645.9530454
1_2_2013-02-15,47798.7167755
1_2_2013-02-22,44496.7171124
1_2_2013-03-01,45102.1564916
