Id,Weekly_Sales
1_1_2012-11-02,38640.93
1_1_2012-11-09,38640.93
1_1_2012-11-16,38640.93
1_1_2012-11-23,38640.93
1_1_2012-11-30,38640.93
1_1_2012-12-07,38640.93
1_1_2012-12-14,38640.93
1_1_2012-12-21,38640.93
1_1_2012-12-28,38640.93
1_1_2013-01-04,38640.93
1_1_2013-01-11,38640.93
1_1_2013-01-18,38640.93
1_1_2013-01-25,38640.93
1_1_2013-02-01,38640.93
1_1_2013-02-08,38640.93
1_1_2013-02-15,38640.93
1_1_2013-02-22,38640.93
1_1_2013-03-01,38640.93
1_1_2013-03-08,38640.93
1_1_2013-03-15,38640.93
1_1_2013-03-22,38640.93
1_1_2013-03-29,38640.93
1_1_2013-04-05,38640.93
1_1_2013-04-12,38640.93
1_1_2013-04-19,38640.93
1_1_2013-04-26,38640.93
1_1_2013-05-03,38640.93
1_1_2013-05-10,38640.93
1_1_2013-05-17,38640.93
1_1_2013-05-24,38640.93
1_1_2013-05-31,38640.93
1_1_2013-06-07,38640.93
1_1_2013-06-14,38640.93
1_1_2013-06-21,38640.93
1_1_2013-06-28,38640.93
1_1_2013-07-05,38640.93
1_1_2013-07-12,38640.93
1_1_2013-07-19,38640.93
1_1_2013-07-26,38640.93
1_2_2012-11-02,46381.43
1_2_2012-11-09,46381.43
1_2_2012-11-16,46381.43
1_2_2012-11-23,46381.43
1_2_2012-11-30,46381.43
1_2_2012-12-07,46381.43
1_2_2012-12-14,46381.43
1_2_2012-12-21,46381.43
1_2_2012-12-28,46381.43
1_2_2013-01-04,46381.43
1_2_2013-01-11,46381.43
1_2_2013-01-18,46381.43
1_2_2013-01-25,46381.43
1_2_2013-02-01,46381.43
1_2_2013-02-08,46381.43
1_2_2013-02-15,46381.43
1_2_2013-02-22,46381.43
1_2_2013-03-01,46381.43
1_2_2013-03-08,46381.43
1_2_2013-03-15,46381.43
1_2_2013-03-22,46381.43
1_2_2013-03-29,46381.43
1_2_2013-04-05,46381.43
1_2_2013-04-12,46381.43
1_2_2013-04-19,46381.43
1_2_2013-04-26,46381.43
1_2_2013-05-03,46381.43
1_2_2013-05-10,46381.43
1_2_2013-05-17,46381.43
1_2_2013-05-24,46381.43
1_2_2013-05-31,46381.43
1_2_2013-06-07,46381.43
1_2_2013-06-14,46381.43
1_2_2013-06-21,46381.43
1_2_2013-06-28,46381.43
1_2_2013-07-05,46381.43
1_2_2013-07-12,46381.43
1_2_2013-07-19,46381.43
1_2_2013-07-26,46381.43
1_3_2012-11-02,9283.09
1_3_2012-11-09,9283.09
1_3_2012-11-16,9283.09
1_3_2012-11-23,9283.09
1_3_2012-11-30,9283.09
1_3_2012-12-07,9283.09
1_3_2012-12-14,9283.09
1_3_2012-12-21,9283.09
1_3_2012-12-28,9283.09
1_3_2013-01-04,9283.09
1_3_2013-01-11,9283.09
1_3_2013-01-18,9283.09
1_3_2013-01-25,9283.09
1_3_2013-02-01,9283.09
