Id,Weekly_Sales
1_1_2012-11-02,31524.2753626
1_1_2012-11-09,34637.92612
1_1_2012-11-16,33736.3343296
1_1_2012-11-23,31998.0061738
1_1_2012-11-30,30051.5863032
1_1_2012-12-07,28903.5655278
1_1_2012-12-14,28343.6303359
1_1_2012-12-21,28926.8434612
1_1_2012-12-28,29334.1614481
1_1_2013-01-04,29462.4006264
1_1_2013-01-11,28238.5875653
1_1_2013-01-18,26794.9040919
1_1_2013-01-25,24662.7167707
1_1_2013-02-01,22819.8416994
1_1_2013-02-08,22800.5934201
1_1_2013-02-15,22934.2668541
1_1_2013-02-22,23776.4438663
1_1_2013-03-01,24276.8564552
1_1_2013-03-08,25017.4681772
1_1_2013-03-15,24772.1700558
1_1_2013-03-22,23772.8039442
1_1_2013-03-29,22624.7192899
1_1_2013-04-05,22176.9470621
1_1_2013-04-12,22182.19435
1_1_2013-04-19,22373.164134
1_1_2013-04-26,24152.3491248
1_1_2013-05-03,24424.8313712
1_1_2013-05-10,24404.6437197
1_1_2013-05-17,24644.4953554
1_1_2013-05-24,24786.6077071
1_1_2013-05-31,24778.0923948
1_1_2013-06-07,26206.3747909
1_1_2013-06-14,27571.5094243
1_1_2013-06-21,27769.2217168
1_1_2013-06-28,27281.3722524
1_1_2013-07-05,26444.6967687
1_1_2013-07-12,25608.9761774
1_1_2013-07-19,23928.320212
1_1_2013-07-26,22624.1641818
1_2_2012-11-02,48720.2677727
1_2_2012-11-09,46699.8524322
1_2_2012-11-16,47317.6224732
1_2_2012-11-23,46964.8520649
1_2_2012-11-30,48968.7583712
1_2_2012-12-07,47812.1770005
1_2_2012-12-14,46497.4281515
1_2_2012-12-21,46783.8414973
1_2_2012-12-28,48010.1052926
1_2_2013-01-04,48012.6626046
1_2_2013-01-11,45931.7553135
1_2_2013-01-18,46989.4292044
1_2_2013-01-25,47445.7936589
1_2_2013-02-01,50201.3856347
1_2_2013-02-08,47162.7985041
1_2_2013-02-15,47547.6337408
1_2_2013-02-22,47507.3833123
1_2_2013-03-01,49810.4444332
1_2_2013-03-08,49131.6754053
1_2_2013-03-15,47830.1936684
1_2_2013-03-22,48137.2209933
1_2_2013-03-29,48382.1397584
1_2_2013-04-05,48878.5322043
1_2_2013-04-12,46710.3440069
1_2_2013-04-19,47336.0690675
1_2_2013-04-26,47369.1733906
1_2_2013-05-03,48435.3089023
1_2_2013-05-10,47063.5040309
1_2_2013-05-17,47590.8868446
1_2_2013-05-24,47678.1668061
1_2_2013-05-31,48696.0798056
1_2_2013-06-07,47455.4288696
1_2_2013-06-14,46935.6679578
1_2_2013-06-21,47157.8320522
1_2_2013-06-28,47465.2565498
1_2_2013-07-05,47631.5240025
1_2_2013-07-12,46269.9122184
1_2_2013-07-19,46955.3454684
1_2_2013-07-26,46783.8866817
1_3_2012-11-02,4574.95038529
1_3_2012-11-09,4677.05864979
1_3_2012-11-16,2679.780834
1_3_2012-11-23,1561.42927822
1_3_2012-11-30,1325.73842356
1_3_2012-12-07,2065.81755245
1_3_2012-12-14,8587.98720353
1_3_2012-12-21,11120.5116605
1_3_2012-12-28,10025.3390007
1_3_2013-01-04,8005.05340045
1_3_2013-01-11,16989.5776632
1_3_2013-01-18,18090.8835851
1_3_2013-01-25,16719.2618889
1_3_2013-02-01,14058.6048299
1_3_2013-02-08,16159.1542814
1_3_2013-02-15,19219.5594899
1_3_2013-02-22,18476.4880925
1_3_2013-03-01,13946.2917589
1_3_2013-03-08,15223.1800812
1_3_2013-03-15,13256.4683336
1_3_2013-03-22,11100.9442251
1_3_2013-03-29,8546.0228888
1_3_2013-04-05,6779.68325441
1_3_2013-04-12,5404.42319251
1_3_2013-04-19,2176.08993927
1_3_2013-04-26,1084.21853676
1_3_2013-05-03,2579.27562085
1_3_2013-05-10,4607.01752922
1_3_2013-05-17,2899.69556431
1_3_2013-05-24,3403.36309352
1_3_2013-05-31,6206.90295845
1_3_2013-06-07,10555.9619955
1_3_2013-06-14,11868.3750225
1_3_2013-06-21,12507.4420089
1_3_2013-06-28,14830.6611449
1_3_2013-07-05,19375.2796197
1_3_2013-07-12,20083.633305
1_3_2013-07-19,21126.9779941
1_3_2013-07-26,22248.5407292
1_4_2012-11-02,41343.9766311
1_4_2012-11-09,38701.5424883
1_4_2012-11-16,38530.4178185
1_4_2012-11-23,39431.521307
1_4_2012-11-30,40149.0167019
1_4_2012-12-07,41557.7658999
1_4_2012-12-14,39992.9393882
1_4_2012-12-21,39850.4637081
1_4_2012-12-28,39630.6528789
1_4_2013-01-04,41064.2775159
1_4_2013-01-11,39567.9254845
1_4_2013-01-18,38013.1081407
1_4_2013-01-25,37866.4352809
1_4_2013-02-01,39224.916753
1_4_2013-02-08,38808.8515223
1_4_2013-02-15,37506.9717322
1_4_2013-02-22,37283.9368843
