Id,Weekly_Sales
1_1_2012-11-02,32344.1641345
1_1_2012-11-09,33480.7947569
1_1_2012-11-16,31268.4221717
1_1_2012-11-23,29592.9252279
1_1_2012-11-30,28886.2235479
1_1_2012-12-07,27957.4518592
1_1_2012-12-14,27322.061021
1_1_2012-12-21,28516.4794889
1_1_2012-12-28,28984.6969525
1_1_2013-01-04,28437.0248382
1_1_2013-01-11,26998.150794
1_1_2013-01-18,25950.6430822
1_1_2013-01-25,24425.8052661
1_1_2013-02-01,23174.597419
1_1_2013-02-08,22765.7325299
1_1_2013-02-15,23044.8076223
1_1_2013-02-22,23920.6086644
1_1_2013-03-01,24725.7659589
1_1_2013-03-08,25964.3666771
1_1_2013-03-15,26023.4462899
1_1_2013-03-22,25266.8458079
1_1_2013-03-29,24050.3949187
1_1_2013-04-05,23845.6196179
1_1_2013-04-12,23821.4855024
1_1_2013-04-19,24030.3526615
1_1_2013-04-26,24580.6381897
1_1_2013-05-03,25514.3726553
1_1_2013-05-10,26215.0785104
1_1_2013-05-17,26599.3449295
1_1_2013-05-24,26530.2497919
1_1_2013-05-31,26180.6009423
1_1_2013-06-07,25561.9418753
1_1_2013-06-14,24800.3775357
1_1_2013-06-21,24264.6139357
1_1_2013-06-28,24227.937231
1_1_2013-07-05,23797.3983866
1_1_2013-07-12,23200.7602601
1_1_2013-07-19,21981.6323732
1_1_2013-07-26,20159.1553796
1_2_2012-11-02,47297.7009475
1_2_2012-11-09,45012.3469455
1_2_2012-11-16,45674.5848916
1_2_2012-11-23,45437.0827647
1_2_2012-11-30,47260.0108189
1_2_2012-12-07,46414.3957795
1_2_2012-12-14,45205.3832612
1_2_2012-12-21,45561.0187562
1_2_2012-12-28,46721.3239763
1_2_2013-01-04,46659.3977985
1_2_2013-01-11,44524.4552859
1_2_2013-01-18,45424.6777743
1_2_2013-01-25,45705.5612129
1_2_2013-02-01,48448.4791199
1_2_2013-02-08,45607.708803
1_2_2013-02-15,46138.7406445
1_2_2013-02-22,46168.2301319
1_2_2013-03-01,48160.9988302
1_2_2013-03-08,47550.968221
1_2_2013-03-15,46424.4861551
1_2_2013-03-22,46749.6192159
1_2_2013-03-29,47106.4474247
1_2_2013-04-05,47637.8110686
1_2_2013-04-12,45802.2947727
1_2_2013-04-19,46530.2037244
1_2_2013-04-26,46587.7003582
1_2_2013-05-03,47505.8495674
1_2_2013-05-10,46317.4516589
1_2_2013-05-17,46865.1355098
1_2_2013-05-24,46908.9694636
1_2_2013-05-31,47891.5512748
1_2_2013-06-07,46800.7228324
1_2_2013-06-14,46394.0348306
1_2_2013-06-21,46621.2846998
1_2_2013-06-28,46828.2689127
1_2_2013-07-05,47024.3634504
1_2_2013-07-12,45733.5212391
1_2_2013-07-19,46326.2089192
1_2_2013-07-26,46134.2192595
1_3_2012-11-02,3924.04965443
1_3_2012-11-09,3638.31376089
1_3_2012-11-16,1478.25734707
1_3_2012-11-23,322.417382391
1_3_2012-11-30,147.86057756
1_3_2012-12-07,1054.39464389
1_3_2012-12-14,7807.10713065
1_3_2012-12-21,10570.410653
1_3_2012-12-28,9746.47906042
1_3_2013-01-04,7935.90648446
1_3_2013-01-11,17098.0830559
1_3_2013-01-18,18268.3289322
1_3_2013-01-25,16964.867065
1_3_2013-02-01,14315.2565395
1_3_2013-02-08,16504.649345
1_3_2013-02-15,19586.7892237
1_3_2013-02-22,18773.9946809
1_3_2013-03-01,14066.9968808
